transcript	divergence
ENST00000371059.3	0.0522027848846
ENST00000338555.2	0.0803236467981
ENST00000291416.5	0.0515020806232
ENST00000413687.2	0.0517062992698
ENST00000312239.5	0.0563724686174
ENST00000366523.1	0.0653770874889
ENST00000361308.4	0.0472646705978
ENST00000366544.1	0.0558856528126
ENST00000367019.1	0.0522758042711
ENST00000344441.6	0.0547521828053
ENST00000367287.4	0.0528735457999
ENST00000352445.6	0.0497676360373
ENST00000378425.5	0.0783230506234
ENST00000369528.5	0.0512973768293
ENST00000422588.2	0.050116398698
ENST00000373710.1	0.0542299839951
ENST00000367217.5	0.0525809588569
ENST00000295294.7	0.0449597276373
ENST00000540926.1	0.0511193029994
ENST00000423786.1	0.0509269624221
ENST00000372990.1	0.0494866283217
ENST00000366610.3	0.0564429217336
ENST00000374761.2	0.0557256811464
ENST00000368630.3	0.0513729166773
ENST00000367875.1	0.0528901440548
ENST00000407249.3	0.0801319340645
ENST00000340866.5	0.0545213837564
ENST00000341372.3	0.0490757846812
ENST00000263686.6	0.0516596889114
ENST00000539444.1	0.0576674232828
ENST00000281834.3	0.0509428771542
ENST00000368104.4	0.0530971493768
ENST00000374434.3	0.054754200881
ENST00000367498.3	0.0514083109829
ENST00000357206.2	0.0497494019418
ENST00000392661.3	0.0558214676199
ENST00000368396.4	0.0468498438932
ENST00000515452.1	0.0507290500846
ENST00000536277.1	0.0509918894974
ENST00000369291.5	0.0495241228002
ENST00000379265.5	0.0803842737135
ENST00000393276.3	0.0502299480792
ENST00000263932.2	0.0580770456366
ENST00000342022.4	0.0524948852143
ENST00000493603.1	0.0521923652811
ENST00000370375.3	0.0470820506406
ENST00000356970.2	0.0516978782741
ENST00000338895.3	0.0757391055471
ENST00000367030.3	0.0523473107764
ENST00000373148.4	0.0518149805396
ENST00000334218.5	0.0564941682978
ENST00000369084.5	0.0436996388822
ENST00000420607.2	0.0524295858469
ENST00000452513.2	0.0457534461996
ENST00000374483.4	0.0536006013951
ENST00000607941.1	0.0485111268126
ENST00000506784.1	0.0527863704979
ENST00000371750.5	0.0477103858176
ENST00000374502.3	0.0537199908305
ENST00000353126.3	0.0496350844268
ENST00000420619.1	0.0547073082553
ENST00000235932.4	0.052121621008
ENST00000373337.3	0.05081514943
ENST00000373266.4	0.0490188021076
ENST00000368806.1	0.0530845659967
ENST00000609117.1	0.0485111268126
ENST00000366810.5	0.0531674624845
ENST00000294981.4	0.054394312425
ENST00000371002.1	0.051945856852
ENST00000537474.1	0.0484229488419
ENST00000539779.1	0.046942961208
ENST00000370995.2	0.0521652853975
ENST00000602281.1	0.0576674232828
ENST00000540243.1	0.0481445100251
ENST00000295694.5	0.0474266724886
ENST00000371180.2	0.0482264000069
ENST00000372858.3	0.0488341965473
ENST00000372504.1	0.051695674976
ENST00000336689.3	0.0539102635785
ENST00000533824.1	0.051824356067
ENST00000537020.1	0.0550645147117
ENST00000372697.3	0.0512211736323
ENST00000367983.4	0.0507321887443
ENST00000429311.1	0.0488769641897
ENST00000368738.3	0.0542013978235
ENST00000369796.1	0.0508933288209
ENST00000366623.3	0.0583661401433
ENST00000539777.1	0.0537425102902
ENST00000367993.3	0.0501901999045
ENST00000288774.3	0.0785779284522
ENST00000478255.1	0.0516081137743
ENST00000538836.1	0.0559693537567
ENST00000540558.1	0.0495144000606
ENST00000360066.2	0.0527863704979
ENST00000373501.2	0.0501158398628
ENST00000326837.2	0.0518030027922
ENST00000339355.2	0.0473049234446
ENST00000431473.3	0.0528276259715
ENST00000419275.1	0.0466801282813
ENST00000422240.2	0.0552221933563
ENST00000367434.4	0.0550265212027
ENST00000394879.1	0.0534059826218
ENST00000424085.2	0.0578648976845
ENST00000400928.3	0.0803236467981
ENST00000520296.1	0.0804392220831
ENST00000374291.1	0.0530003577235
ENST00000371933.3	0.050043134394
ENST00000452699.1	0.0622670089606
ENST00000474859.1	0.052963001286
ENST00000465271.1	0.0528863404267
ENST00000366839.4	0.0525289454414
ENST00000425272.2	0.0522478389458
ENST00000401046.3	0.0541959290286
ENST00000485769.1	0.0518277674104
ENST00000368319.3	0.0466886827899
ENST00000528414.1	0.0481532878314
ENST00000368694.3	0.0531652381135
ENST00000368006.3	0.0499856503045
